frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
46,  0,  1.667,  0.98,  1, 0.00, 0.00, 0.03, 0.00, 0.00, 1.63, 0.00, 0.07, 0.46, 0.00, 0.00, 0.00, 0.08, 0.17, 0.82, 0.25, 0.11, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
47,  0,  1.704,  0.98,  1, 0.00, 0.00, 0.06, 0.00, 0.00, 1.55, 0.00, 0.03, 0.37, 0.00, 0.00, 0.00, 0.04, 0.13, 0.75, 0.13, 0.12, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
48,  0,  1.741,  0.98,  1, 0.00, 0.00, 0.11, 0.00, 0.00, 1.50, 0.00, 0.00, 0.32, 0.00, 0.00, 0.00, 0.06, 0.15, 0.67, 0.06, 0.19, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
49,  0,  1.778,  0.98,  1, 0.00, 0.00, 0.14, 0.00, 0.00, 1.50, 0.00, 0.00, 0.27, 0.00, 0.00, 0.00, 0.09, 0.14, 0.45, 0.00, 0.17, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
50,  0,  1.815,  0.98,  1, 0.00, 0.00, 0.09, 0.00, 0.00, 1.54, 0.00, 0.00, 0.24, 0.00, 0.00, 0.05, 0.13, 0.17, 0.20, 0.00, 0.14, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
51,  0,  1.852,  0.98,  1, 0.00, 0.00, 0.03, 0.00, 0.00, 1.51, 0.00, 0.00, 0.23, 0.00, 0.00, 0.11, 0.10, 0.17, 0.08, 0.01, 0.11, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
52,  0,  1.889,  0.98,  1, 0.00, 0.00, 0.00, 0.00, 0.00, 1.53, 0.00, 0.00, 0.24, 0.00, 0.00, 0.11, 0.07, 0.22, 0.01, 0.01, 0.08, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
53,  0,  1.926,  0.98,  1, 0.00, 0.00, 0.00, 0.00, 0.00, 1.53, 0.00, 0.00, 0.21, 0.00, 0.00, 0.06, 0.04, 0.25, 0.01, 0.01, 0.05, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
54,  0,  1.963,  0.98,  1, 0.00, 0.00, 0.00, 0.00, 0.00, 1.48, 0.01, 0.00, 0.12, 0.00, 0.00, 0.08, 0.02, 0.26, 0.00, 0.09, 0.02, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
55,  0,  2.000,  0.98,  1, 0.00, 0.00, 0.00, 0.00, 0.00, 1.43, 0.01, 0.00, 0.04, 0.00, 0.00, 0.18, 0.00, 0.20, 0.00, 0.20, 0.05, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
56,  0,  2.037,  0.98,  1, 0.00, 0.00, 0.00, 0.00, 0.00, 1.40, 0.01, 0.00, 0.00, 0.00, 0.00, 0.31, 0.00, 0.24, 0.00, 0.26, 0.04, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
57,  0,  2.074,  0.98,  1, 0.00, 0.00, 0.00, 0.00, 0.00, 1.34, 0.00, 0.00, 0.05, 0.00, 0.00, 0.36, 0.00, 0.36, 0.00, 0.22, 0.04, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
58,  0,  2.111,  0.98,  1, 0.00, 0.00, 0.00, 0.00, 0.00, 1.29, 0.00, 0.00, 0.12, 0.00, 0.00, 0.33, 0.22, 0.45, 0.00, 0.11, 0.08, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
59,  0,  2.148,  0.98,  1, 0.00, 0.00, 0.00, 0.00, 0.00, 1.30, 0.00, 0.00, 0.19, 0.00, 0.00, 0.21, 0.42, 0.36, 0.08, 0.04, 0.20, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
60,  0,  2.185,  0.98,  1, 0.00, 0.00, 0.00, 0.00, 0.00, 1.44, 0.01, 0.00, 0.23, 0.00, 0.00, 0.09, 0.61, 0.19, 0.25, 0.00, 0.25, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
61,  0,  2.222,  0.98,  1, 0.00, 0.00, 0.00, 0.00, 0.00, 1.64, 0.03, 0.00, 0.23, 0.00, 0.00, 0.02, 0.46, 0.06, 0.57, 0.00, 0.25, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
62,  0,  2.259,  0.98,  1, 0.00, 0.00, 0.00, 0.00, 0.00, 1.73, 0.08, 0.00, 0.28, 0.00, 0.00, 0.00, 0.26, 0.01, 0.96, 0.00, 0.14, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
63,  0,  2.296,  0.98,  1, 0.00, 0.00, 0.05, 0.00, 0.00, 1.73, 0.09, 0.11, 0.25, 0.00, 0.00, 0.06, 0.07, 0.00, 1.13, 0.18, 0.09, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
64,  0,  2.333,  0.98,  1, 0.00, 0.00, 0.08, 0.00, 0.00, 1.60, 0.07, 0.25, 0.20, 0.00, 0.00, 0.19, 0.00, 0.00, 1.04, 0.47, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
65,  0,  2.370,  0.98,  1, 0.00, 0.00, 0.13, 0.00, 0.00, 1.45, 0.05, 0.31, 0.09, 0.00, 0.00, 0.20, 0.00, 0.00, 0.75, 0.82, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
66,  0,  2.407,  0.98,  1, 0.03, 0.00, 0.14, 0.00, 0.00, 1.42, 0.06, 0.29, 0.10, 0.00, 0.00, 0.15, 0.13, 0.00, 0.69, 0.95, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
67,  0,  2.444,  0.98,  1, 0.04, 0.00, 0.20, 0.00, 0.00, 1.42, 0.06, 0.25, 0.22, 0.00, 0.00, 0.02, 0.27, 0.00, 0.83, 1.09, 0.01, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
68,  0,  2.481,  0.98,  1, 0.04, 0.00, 0.21, 0.00, 0.00, 1.44, 0.03, 0.31, 0.37, 0.00, 0.00, 0.00, 0.43, 0.00, 0.98, 1.07, 0.03, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
